igralec,polozaj
179551,ST
179560,LM
179591,CAM
179591,CM
179591,RM
179605,CAM
179605,CM
179633,LM
179645,CB
179687,RB
179696,LB
179696,LWB
179752,ST
179765,CAM
179765,CM
179783,GK
179789,CB
179813,ST
179820,GK
179844,ST
179846,CDM
179846,CM
179847,CB
179944,CB
180206,CM
180216,RB
180281,CAM
180281,CM
180281,LM
180283,CDM
180283,CM
180334,CB
180359,LB
180403,LW
180403,RM
180403,RW
180706,CB
180714,GK
180808,CB
180808,CDM
180818,ST
180819,CAM
180819,CM
180823,CB
180823,RB
180930,ST
181098,CB
181098,CDM
181123,CAM
181123,CDM
181123,CM
181205,LB
181205,LM
181236,CAM
181236,RM
181262,CB
181271,CAM
181271,CM
181291,CM
181318,CDM
181318,CM
181375,ST
181383,CB
181383,CDM
181383,CM
181404,CB
181445,CB
181458,LM
181458,LW
181479,CB
181481,GK
181573,CDM
181573,CM
181786,CB
181795,CB
181795,LB
181795,LWB
181820,CAM
181820,ST
181872,CAM
181872,CDM
181872,CM
182001,CB
182002,CB
182043,GK
182087,GK
182133,CB
182168,CB
182179,CB
182184,CDM
182184,CM
182212,ST
182224,GK
182343,CDM
182343,CM
182411,LM
182411,LW
182411,RW
182473,LB
182493,CB
182494,GK
182495,CB
182495,RB
182520,GK
182521,CM
182632,CAM
182632,LW
182670,CB
182670,CDM
182670,CM
182744,LB
182744,LWB
182836,ST
182859,CDM
182859,CM
182859,RM
182888,CB
182888,CDM
182896,RB
182896,RWB
182941,CB
182945,LM
182945,LW
182959,GK
183108,LM
183108,RM
183125,ST
183129,CB
183130,LM
183130,RM
183141,GK
183187,CAM
183187,LM
183187,RM
183211,ST
183254,CB
183277,LW
183277,ST
183280,CB
183285,CB
183287,CDM
183287,CM
183315,GK
183332,CF
183332,LM
183332,RM
183346,CDM
183346,CM
183353,RB
183361,CB
183376,CDM
183376,CM
183382,CB
183382,CDM
183389,RM
183389,ST
183394,CDM
183394,CM
183394,RM
183422,CB
183422,CDM
183422,CM
183427,CDM
183427,CM
183427,LB
183453,CDM
183453,CM
183475,GK
183483,ST
183491,CB
183497,GK
183498,CDM
183498,CM
183512,LB
183520,CDM
183520,CM
183540,CDM
183540,CM
183546,CDM
183546,CM
183556,CB
183569,LW
183569,ST
183573,CDM
183573,LB
183574,CAM
183574,ST
183580,ST
183581,CB
183581,CDM
183581,CM
183606,CB
183666,GK
183711,CDM
183711,CM
183714,ST
183774,CB
183820,RM
183820,RW
183855,CB
183871,CAM
183871,RM
183893,CDM
183893,CM
183895,CAM
183895,CM
183898,LW
183898,RW
183899,LM
183899,LW
183899,RM
183900,LM
183900,LW
183907,CB
183909,RM
183916,LB
183916,RB
183921,RB
183921,RM
183921,RW
183936,CAM
183936,CDM
183936,CM
183966,CB
183966,RB
183975,CB
184035,LB
