id,ime_in_priimek,državljanstvo,ocena,potencial,starost,iskanja,klub
168435,Salvatore Sirigu,Italy,84,84,33,6,Torino
168530,Jardel,Brazil,75,75,34,2,SL Benfica
168542,David Silva,Spain,86,86,34,10,Real Sociedad
168565,Hugo Rodallega,Colombia,75,75,35,2,Denizlispor
168585,Ron Vlaar,Netherlands,73,73,35,1,AZ
168607,Rafinha,Brazil,79,79,35,2,Olympiacos CFP
168609,Miranda,Brazil,80,80,36,2,Jiangsu Suning
168621,Zeca,Greece,76,76,32,0,FC København
168651,Ivan Rakitić,Croatia,82,82,32,10,Sevilla FC
169078,Luke Freeman,England,72,72,28,0,Nottingham Forest
169115,Andrea Masiello,Italy,75,75,34,0,Genoa
169181,Kenneth Vermeer,Netherlands,74,74,34,1,LAFC
169195,Renato Augusto,Brazil,83,83,32,3,Beijing Sinobo Guoan FC
169214,Scott Sinclair,England,73,73,31,1,Preston North End
169216,Shane Long,Republic of Ireland,74,74,33,1,Southampton
169324,Andreas Ulmer,Austria,75,75,34,1,FC Red Bull Salzburg
169345,Markus Suttner,Austria,73,73,33,1,FK Austria Wien
169386,Sergio Floccari,Italy,71,71,38,0,SPAL
169416,Carlos Vela,Mexico,83,83,31,10,LAFC
169426,Barragán,Spain,74,74,33,0,Elche CF
169588,Jonny Evans,Northern Ireland,80,80,32,2,Leicester City
169595,Danny Rose,England,78,78,30,2,Tottenham Hotspur
169697,Darren Randolph,Republic of Ireland,75,75,33,0,West Ham United
169705,Ryan Bertrand,England,78,78,31,3,Southampton
169706,Jack Cork,England,77,77,31,0,Burnley
169771,Fabián Estoyanoff,Uruguay,71,71,38,1,Club Atlético Peñarol
169792,Jay Rodriguez,England,76,76,31,0,Burnley
170084,Wayne Hennessey,Wales,75,75,33,1,Crystal Palace
170159,Felix Bastians,Germany,74,74,32,1,Tianjin TEDA FC
170320,Lorenzo De Silvestri,Italy,75,75,32,0,Bologna
170368,Erik Lamela,Argentina,80,80,28,8,Tottenham Hotspur
170369,Giovani dos Santos,Mexico,73,73,31,8,Club América
170370,Jonathan dos Santos,Mexico,77,77,30,6,LA Galaxy
170597,Tim Krul,Netherlands,75,75,32,1,Norwich City
170664,Cristian Rodríguez,Uruguay,72,72,35,7,Club Atlético Peñarol
170719,Diego Buonanotte,Argentina,74,74,32,0,Universidad Católica
170733,Gervinho,Ivory Coast,78,78,33,9,Parma
170797,Nuri Şahin,Turkey,75,75,32,0,Antalyaspor
170815,Steven Defour,Belgium,75,75,32,0,KV Mechelen
170890,Blaise Matuidi,France,83,83,33,10,Inter Miami CF
170923,Andrey Eschenko,Russia,71,71,36,2,Spartak Moscow
171018,Mario Suárez,Spain,74,74,33,0,Rayo Vallecano
171378,Paul Aguilar,Mexico,72,72,34,3,Club América
171579,Raúl García,Spain,80,80,34,4,Athletic Club
171791,José Fonte,Portugal,78,78,36,2,LOSC Lille
171828,Ignacio Scocco,Argentina,75,75,35,0,Newell's Old Boys
171875,Caner Erkin,Turkey,76,76,32,3,Fenerbahçe SK
171877,Marek Hamšík,Slovakia,81,81,33,5,Dalian Professional Football Club
171896,Hugo Ayala,Mexico,75,75,33,1,Tigres de la UANL
171897,Andrés Guardado,Mexico,78,78,34,4,Real Betis Balompié
171972,James McArthur,Scotland,75,75,33,1,Crystal Palace
171975,Gonzalo Bergessio,Argentina,75,75,36,2,Club Nacional de Football
172013,De la Bella,Spain,72,72,34,1,FC Cartagena
172018,Jonatan Maidana,Argentina,73,73,35,1,Deportivo Toluca
172019,Pablo Mouche,Argentina,73,73,33,1,Colo-Colo
172049,Eljero Elia,Netherlands,76,76,33,2,FC Utrecht
172098,Álvaro Pereira,Uruguay,73,73,34,1,Club River Plate Asunción
172114,Diego Valeri,Argentina,79,79,34,1,Portland Timbers
172143,Lasse Schøne,Denmark,75,75,34,3,Genoa
172175,Kevin Mirallas,Belgium,74,74,33,0,Gaziantep FK
172198,Jessy Moulin,France,71,71,34,0,AS Saint-Étienne
172203,Fraser Forster,England,75,75,32,1,Southampton
172233,Perparim Hetemaj,Finland,72,72,33,0,Benevento
172287,Manu García,Spain,75,75,34,2,D. Alavés
172316,Coke,Spain,75,75,33,0,Levante UD
172425,Souleymane Bamba,Ivory Coast,72,72,35,1,Cardiff City
172522,Daniel Wass,Denmark,80,80,31,5,Valencia CF
172553,Jonas Lössl,Denmark,73,73,31,1,Everton
172649,Onur Kaya,Belgium,71,71,34,1,KV Mechelen
172672,Varela,Portugal,73,73,35,0,Belenenses
172685,José Crespo,Spain,73,73,33,0,PAOK
172723,Asmir Begović,Bosnia & Herzegovina,75,75,33,2,AFC Bournemouth
172786,Marco Mancosu,Italy,72,72,32,0,Lecce
172862,Niklas Moisander,Finland,75,75,35,1,SV Werder Bremen
172871,Jan Vertonghen,Belgium,83,83,33,4,SL Benfica
172879,Sokratis,Greece,78,78,32,4,Arsenal
172937,Glenn Murray,England,74,74,37,0,Watford
172939,Keiren Westwood,Republic of Ireland,71,71,36,1,Sheffield Wednesday
172960,Lewis Grabban,England,73,73,32,1,Nottingham Forest
172962,Victor Moses,Nigeria,78,78,29,6,Spartak Moscow
173030,Óscar Trejo,Argentina,71,71,32,1,Rayo Vallecano
173146,Luca Cigarini,Italy,73,73,34,1,Crotone
173155,Antonino Barillà,Italy,71,71,32,0,AC Monza
173160,Nicolas Viola,Italy,71,71,31,0,Benevento
173178,Manolo Reina,Spain,71,71,35,0,RCD Mallorca
173208,Domenico Criscito,Italy,78,78,33,1,Genoa
173221,Antonio Candreva,Italy,78,78,33,3,Sampdoria
173306,Cristian Ansaldi,Argentina,78,78,34,2,Torino
173373,Sergio Romero,Argentina,80,80,33,2,Manchester United
173426,Simon Mignolet,Belgium,81,81,32,1,Club Brugge KV
173432,Héctor Moreno,Mexico,77,77,32,7,Free Agents
173474,Zlatko Junuzović,Austria,76,76,33,0,FC Red Bull Salzburg
173521,Marcano,Spain,81,81,33,3,FC Porto
173546,James Tomkins,England,76,76,31,1,Crystal Palace
173608,Joselu,Spain,76,76,30,1,D. Alavés
173731,Gareth Bale,Wales,83,83,31,32,Tottenham Hotspur
173771,Łukasz Piszczek,Poland,80,80,35,4,Borussia Dortmund
173818,Adrián López,Spain,75,75,32,0,CA Osasuna
173857,Mariano Andújar,Argentina,73,73,37,0,Estudiantes de La Plata
173909,Kevin-Prince Boateng,Ghana,78,78,33,5,AC Monza
174379,Gonzalo Castro,Uruguay,76,76,36,0,Club Nacional de Football
174543,Claudio Bravo,Chile,77,77,37,12,Real Betis Balompié
174549,Matías Fernández,Chile,73,73,34,3,Colo-Colo
175254,Felipe Caicedo,Ecuador,78,78,32,1,Lazio
175379,Pedro León,Spain,79,79,33,3,SD Eibar
175895,Vadis Odjidja-Ofoe,Belgium,76,76,31,2,KAA Gent
175932,Ritchie De Laet,Belgium,73,73,31,0,Royal Antwerp FC
175943,Dries Mertens,Belgium,85,85,33,16,Napoli
176009,Sven Kums,Belgium,75,75,32,0,KAA Gent
176048,Kei Kamara,Sierra Leone,73,73,36,2,Minnesota United FC
176071,Dax McCarty,United States,71,71,33,2,Nashville SC
176104,Valter Birsa,Slovenia,73,73,34,0,Cagliari
176137,Jelle Vossen,Belgium,71,71,31,0,SV Zulte Waregem
176237,Jozy Altidore,United States,74,74,30,4,Toronto FC
176266,Lucas Leiva,Brazil,84,84,33,0,Lazio
176285,Winston Reid,New Zealand,75,75,32,0,Sporting Kansas City
176376,Ignacio Piatti,Argentina,78,78,35,3,San Lorenzo de Almagro
176377,Duško Tošić,Serbia,72,72,35,0,Guangzhou R&F FC
176481,Mevlüt Erdinç,Turkey,71,71,33,0,Fatih Karagümrük SK
176483,Dmytro Chygrynskyi,Ukraine,73,73,33,1,AEK Athens
176495,Matheus,Brazil,77,77,37,0,Shijiazhuang Ever Bright F.C.
176526,Leonardo Burián,Uruguay,72,72,36,0,Colón de Santa Fe
176550,David Ospina,Colombia,79,79,32,1,Napoli
176553,Simone Missiroli,Italy,73,73,34,0,SPAL
176571,André Ayew,Ghana,76,76,30,2,Swansea City
176580,Luis Suárez,Uruguay,87,87,33,28,Atlético de Madrid
176600,Kévin Gameiro,France,79,79,33,5,Valencia CF
176608,Javier Reina,Colombia,71,71,31,0,Independiente Medellín
176619,Adrián Ramos,Colombia,72,72,34,1,América de Cali
176630,Marco Pereira,Portugal,72,72,33,0,Santa Clara
176635,Mesut Özil,Germany,82,82,32,17,Arsenal
176676,Marcelo,Brazil,83,83,32,17,Real Madrid
176693,Jean-Sylvain Babin,France,72,72,34,0,R. Sporting
176717,Per Karlsson,Sweden,71,71,34,0,AIK
176731,Pontus Wernbloom,Sweden,71,71,34,1,IFK Göteborg
176733,Marcus Berg,Sweden,76,76,34,3,Free Agents
176772,Alexandre Oukidja,Algeria,76,76,32,0,FC Metz
176794,Ola Toivonen,Sweden,75,75,34,1,Malmö FF
176841,Lukas Jutkiewicz,England,72,72,31,0,Birmingham City
176894,Mossoró,Brazil,74,74,37,0,Göztepe SK
176915,Augusto Fernández,Argentina,75,75,34,0,Cádiz CF
176919,Nahuel Guzmán,Argentina,79,79,34,0,Tigres de la UANL
176930,Marcelo Díaz,Chile,79,79,33,1,Racing Club
176944,Marouane Fellaini,Belgium,75,75,32,4,Shandong Luneng TaiShan FC
176993,Bojan,Spain,72,72,30,3,Impact Montréal
176994,Régis Gurtner,France,77,77,33,0,Amiens SC
177003,Luka Modrić,Croatia,87,87,35,27,Real Madrid
177019,Fabian Lustenberger,Switzerland,75,75,32,0,BSC Young Boys
177134,Demba Ba,Senegal,72,72,35,0,İstanbul Başakşehir FK
177273,Julio César Domínguez,Mexico,73,73,32,0,Cruz Azul
177280,Tore Reginiussen,Norway,73,73,34,1,Rosenborg BK
177299,Adrián Gabbarini,Argentina,73,73,35,2,LDU Quito
177326,Mathieu Valbuena,France,79,79,36,3,Olympiacos CFP
177358,Morgan Schneiderlin,France,76,76,30,2,OGC Nice
177388,Dimitri Payet,France,82,82,33,9,Olympique de Marseille
177390,Haris Medunjanin,Bosnia & Herzegovina,71,71,35,2,FC Cincinnati
177392,Dieumerci Mbokani,DR Congo,78,78,34,0,Royal Antwerp FC
177413,Axel Witsel,Belgium,84,84,31,11,Borussia Dortmund
177448,Gustav Svensson,Sweden,74,74,33,2,Seattle Sounders FC
177457,Lars Bender,Germany,82,82,31,2,Bayer 04 Leverkusen
177458,Sven Bender,Germany,81,81,31,1,Bayer 04 Leverkusen
177475,Tobias Sippel,Germany,73,73,32,1,Borussia Mönchengladbach
177481,Ludovic Baal,France,71,71,34,0,Stade Brestois 29
177482,Mathieu Coutadeur,France,71,71,34,0,AC Ajaccio
177525,Nabil Dirar,Morocco,74,74,34,0,Fenerbahçe SK
177537,Nicolás Bertolo,Argentina,72,72,34,0,Banfield
177578,Sebastian Prödl,Austria,72,72,33,0,Udinese
177604,Nacho Monreal,Spain,80,80,34,5,Real Sociedad
177610,Javi Martínez,Spain,81,81,32,5,FC Bayern München
177621,Felipe Rodríguez,Mexico,71,71,31,0,Club Atlético de San Luis
177633,Ángel,Spain,79,79,33,2,Getafe CF
177644,Kiko Casilla,Spain,73,73,34,3,Leeds United
177683,Yann Sommer,Switzerland,86,86,31,4,Borussia Mönchengladbach
